speaker,text
master,boatswain! 
boatswain,"here, master: what cheer? "
master,"good, speak to the mariners: fall to't yarely, or we run ourselves aground: bestir, bestir. "
boatswain,"heigh, my hearts! cheerly, cheerly, my hearts! yare, yare! take in the topsail. tend to the master's whistle.—blow, till thou burst thy wind, if room enough!  "
alonso,"good boatswain, have care. where's the master? play the men. "
boatswain,"i pray now, keep below. "
antonio,"where is the master, boson? "
boatswain,do you not hear him? you mar our labour: keep your cabins: you do assist the storm. 
gonzalo,"nay, good, be patient. "
boatswain,when the sea is. hence! what cares these roarers for the name of king? to cabin: silence! trouble us not. 
gonzalo,"good, yet remember whom thou hast aboard. "
boatswain,"none that i more love than myself. you are a counsellor: if you can command these elements to silence, and work the peace of the present, we will not hand a rope more; use your authority: if you cannot, give thanks you have lived so long, and make yourself ready in your cabin for the mischance of the hour, if it so hap.—cheerly, good hearts!—out of our way, i say. "
gonzalo,"i have great comfort from this fellow: methinks he hath no drowning mark upon him; his complexion is perfect gallows. stand fast, good fate, to his hanging! make the rope of his destiny our cable, for our own doth little advantage! if he be not born to be hanged, our case is miserable. "
boatswain,"down with the topmast! yare! lower, lower! bring her to try with main-course. "
sebastian,"a pox o' your throat, you bawling, blasphemous, incharitable dog! "
boatswain,"work you, then. "
antonio,"hang, cur, hang! you whoreson, insolent noisemaker, we are less afraid to be drowned than thou art. "
gonzalo,"i'll warrant him for drowning; though the ship were no stronger than a nutshell, and as leaky as an unstanched wench. "
boatswain,"lay her a-hold, a-hold! set her two courses; off to sea again; lay her off.  "
miranda,"all lost! to prayers, to prayers! all lost! "
boatswain,"what, must our mouths be cold? "
gonzalo,"the king and prince at prayers! let us assist them, for our case is as theirs. "
sebastian,i am out of patience. 
antonio,"we are merely cheated of our lives by drunkards.— this wide-chapp'd rascal,—would thou might'st lie drowning, the washing of ten tides! "
gonzalo,"he'll be hang'd yet, though every drop of water swear against it, and gape at wid'st to glut him. "
antonio,let's all sink wi' the king. 
sebastian,let's take leave of him. 
gonzalo,"now would i give a thousand furlongs of sea for an acre of barren ground; long heath, brown furze, any thing. the wills above be done! but i would fain die a dry death. "
miranda,"if by your art, my dearest father, you have put the wild waters in this roar, allay them. the sky, it seems, would pour down stinking pitch, but that the sea, mounting to th' welkin's cheek, dashes the fire out. o! i have suffer'd with those that i saw suffer: a brave vessel, who had, no doubt, some noble creatures in her, dash'd all to pieces. o! the cry did knock against my very heart. poor souls, they perish'd. had i been any god of power, i would have sunk the sea within the earth, or e'er it should the good ship so have swallow'd and the fraughting souls within her. "
prospero,be collected: no more amazement. tell your piteous heart there's no harm done. 
miranda,"o, woe the day! "
prospero,"no harm. i have done nothing but in care of thee,— of thee, my dear one! thee, my daughter!—who art ignorant of what thou art, nought knowing of whence i am: nor that i am more better than prospero, master of a full poor cell, and thy no greater father. "
miranda,more to know did never meddle with my thoughts. 
prospero,"'tis time i should inform thee further. lend thy hand, and pluck my magic garment from me.—so: "
miranda,"you have often begun to tell me what i am, but stopp'd, and left me to a bootless inquisition, concluding, 'stay; not yet.' "
prospero,"the hour's now come, the very minute bids thee ope thine ear; obey and be attentive. canst thou remember a time before we came unto this cell? i do not think thou canst, for then thou wast not out three years old. "
miranda,"certainly, sir, i can. "
prospero,"by what? by any other house or person? of anything the image tell me, that hath kept with thy remembrance. "
miranda,'tis far off; and rather like a dream than an assurance that my remembrance warrants. had i not four or five women once that tended me? 
prospero,"thou hadst, and more, miranda. but how is it that this lives in thy mind? what seest thou else in the dark backward and abysm of time? if thou remember'st aught ere thou cam'st here, how thou cam'st here, thou may'st. "
miranda,but that i do not. 
prospero,"twelve year since, miranda, twelve year since, thy father was the duke of milan and a prince of power. "
miranda,"sir, are not you my father? "
prospero,"thy mother was a piece of virtue, and she said thou wast my daughter; and thy father was duke of milan, and his only heir a princess,—no worse issued. "
miranda,"o, the heavens! what foul play had we that we came from thence? or blessed was't we did? "
prospero,"both, both, my girl: by foul play, as thou say'st, were we heav'd thence; but blessedly holp hither. "
miranda,"o! my heart bleeds to think o' the teen that i have turn'd you to, which is from my remembrance. please you, further. "
prospero,"my brother and thy uncle, call'd antonio,— i pray thee, mark me,—that a brother should be so perfidious!—he whom next thyself, of all the world i lov'd, and to him put the manage of my state; as at that time, through all the signiories it was the first, and prospero the prime duke; being so reputed in dignity, and for the liberal arts, without a parallel: those being all my study, the government i cast upon my brother, and to my state grew stranger, being transported and rapt in secret studies. thy false uncle— dost thou attend me? "
miranda,"sir, most heedfully. "
prospero,"being once perfected how to grant suits, how to deny them, who t'advance, and who to trash for over-topping; new created the creatures that were mine, i say, or chang'd 'em, or else new form'd 'em: having both the key of officer and office, set all hearts i' the state to what tune pleas'd his ear; that now he was the ivy which had hid my princely trunk, and suck'd my verdure out on't.—thou attend'st not. "
miranda,"o, good sir! i do. "
