speaker,text
king,"let fame, that all hunt after in their lives, live register'd upon our brazen tombs, and then grace us in the disgrace of death; when, spite of cormorant devouring time, the endeavour of this present breath may buy that honour which shall bate his scythe's keen edge, and make us heirs of all eternity. therefore, brave conquerors,—for so you are, that war against your own affections and the huge army of the world's desires,— our late edict shall strongly stand in force: navarre shall be the wonder of the world; our court shall be a little academe, still and contemplative in living art. you three, berowne, dumaine, and longaville, have sworn for three years' term to live with me, my fellow-scholars, and to keep those statutes that are recorded in this schedule here: your oaths are pass'd; and now subscribe your names, that his own hand may strike his honour down that violates the smallest branch herein. if you are arm'd to do, as sworn to do, subscribe to your deep oaths, and keep it too. "
longaville,"i am resolv'd; 'tis but a three years' fast: the mind shall banquet, though the body pine: fat paunches have lean pates, and dainty bits make rich the ribs, but bankrupt quite the wits. "
dumaine,"my loving lord, dumaine is mortified: the grosser manner of these world's delights he throws upon the gross world's baser slaves: to love, to wealth, to pomp, i pine and die; with all these living in philosophy. "
berowne,"i can but say their protestation over; so much, dear liege, i have already sworn, that is, to live and study here three years. but there are other strict observances; as, not to see a woman in that term, which i hope well is not enrolled there: and one day in a week to touch no food, and but one meal on every day beside; the which i hope is not enrolled there: and then, to sleep but three hours in the night, and not be seen to wink of all the day,— when i was wont to think no harm all night and make a dark night too of half the day,— which i hope well is not enrolled there. o! these are barren tasks, too hard to keep, not to see ladies, study, fast, not sleep. "
king,your oath is pass'd to pass away from these. 
berowne,"let me say no, my liege, an if you please. i only swore to study with your grace, and stay here in your court for three years' space. "
longaville,"you swore to that, berowne, and to the rest. "
berowne,"by yea and nay, sir, then i swore in jest. what is the end of study? let me know. "
king,"why, that to know which else we should not know. "
berowne,"things hid and barr'd, you mean, from common sense? "
king,"ay, that is study's god-like recompense. "
berowne,"come on then; i will swear to study so, to know the thing i am forbid to know; as thus: to study where i well may dine, when i to feast expressly am forbid; or study where to meet some mistress fine, when mistresses from common sense are hid; or, having sworn too hard-a-keeping oath, study to break it, and not break my troth. if study's gain be thus, and this be so, study knows that which yet it doth not know. swear me to this, and i will ne'er say no. "
king,"these be the stops that hinder study quite, and train our intellects to vain delight. "
berowne,"why, all delights are vain; but that most vain which, with pain purchas'd doth inherit pain: as, painfully to pore upon a book, to seek the light of truth; while truth the while doth falsely blind the eyesight of his look: light seeking light doth light of light beguile: so, ere you find where light in darkness lies, your light grows dark by losing of your eyes. study me how to please the eye indeed, by fixing it upon a fairer eye, who dazzling so, that eye shall be his heed, and give him light that it was blinded by. study is like the heaven's glorious sun, that will not be deep-search'd with saucy looks; small have continual plodders ever won, save base authority from others' books. these earthly godfathers of heaven's lights that give a name to every fixed star, have no more profit of their shining nights than those that walk and wot not what they are. too much to know is to know nought but fame; and every godfather can give a name. "
king,"how well he's read, to reason against reading! "
dumaine,"proceeded well, to stop all good proceeding! "
longaville,"he weeds the corn, and still lets grow the weeding. "
berowne,"the spring is near, when green geese are a-breeding. "
dumaine,how follows that? 
berowne,fit in his place and time. 
dumaine,in reason nothing. 
berowne,"something then, in rime. "
king,berowne is like an envious sneaping frost that bites the first-born infants of the spring. 
berowne,"well, say i am: why should proud summer boast before the birds have any cause to sing? why should i joy in an abortive birth? at christmas i no more desire a rose than wish a snow in may's new-fangled mirth; but like of each thing that in season grows. so you, to study now it is too late, climb o'er the house to unlock the little gate. "
king,"well, sit you out: go home, berowne: adieu! "
berowne,"no, my good lord; i have sworn to stay with you: and though i have for barbarism spoke more than for that angel knowledge you can say, yet confident i'll keep to what i swore, and bide the penance of each three years' day. give me the paper; let me read the same; and to the strict'st decrees i'll write my name. "
king,how well this yielding rescues thee from shame! 
berowne,"item, that no woman shall come within a mile of my court. hath this been proclaimed? "
longaville,four days ago. 
berowne,let's see the penalty. on pain of losing her tongue. who devised this penalty? 
longaville,"marry, that did i. "
berowne,"sweet lord, and why? "
longaville,to fright them hence with that dread penalty. 
berowne,"a dangerous law against gentility!  item. if any man be seen to talk with a woman within the term of three years, he shall endure such public shame as the rest of the court can possibly devise. this article, my liege, yourself must break; for well you know here comes in embassy the french king's daughter with yourself to speak— a maid of grace and complete majesty— about surrender up of aquitaine to her decrepit, sick, and bed-rid father: therefore this article is made in vain, or vainly comes th' admired princess hither. "
king,"what say you, lords? why, this was quite forgot. "
berowne,"so study evermore is overshot: while it doth study to have what it would, it doth forget to do the thing it should; and when it hath the thing it hunteth most, 'tis won as towns with fire; so won, so lost. "
king,we must of force dispense with this decree; she must lie here on mere necessity. 
berowne,"necessity will make us all forsworn three thousand times within this three years' space; for every man with his affects is born, not by might master'd, but by special grace. if i break faith this word shall speak for me, i am forsworn 'on mere necessity.' so to the laws at large i write my name: "
king,"ay, that there is. our court, you know, is haunted with a refined traveller of spain; a man in all the world's new fashion planted, that hath a mint of phrases in his brain; one whom the music of his own vain tongue doth ravish like enchanting harmony; a man of complements, whom right and wrong have chose as umpire of their mutiny: this child of fancy, that armado hight, for interim to our studies shall relate in high-born words the worth of many a knight from tawny spain lost in the world's debate. how you delight, my lords, i know not, i; but, i protest, i love to hear him lie, and i will use him for my minstrelsy. "
berowne,"armado is a most illustrious wight, a man of fire-new words, fashion's own knight. "
longaville,"costard the swain and he shall be our sport; and, so to study, three years is but short.  "
dull,which is the duke's own person? 
berowne,"this, fellow. what wouldst? "
dull,"i myself reprehend his own person, for i am his grace's tharborough: but i would see his own person in flesh and blood. "
berowne,this is he. 
dull,signior arm—arm—commends you. there's villany abroad: this letter will tell you more. 
costard,"sir, the contempts thereof are as touching me. "
king,a letter from the magnificent armado. 
berowne,"how long soever the matter, i hope in god for high words. "
longaville,a high hope for a low heaven: god grant us patience! 
berowne,"to hear, or forbear laughing? "
longaville,"to hear meekly, sir, and to laugh moderately; or to forbear both. "
berowne,"well, sir, be it as the style shall give us cause to climb in the merriness. "
costard,"the matter is to me, sir, as concerning jaquenetta. the manner of it is, i was taken with the manner. "
berowne,in what manner? 
costard,"in manner and form following, sir; all those three: i was seen with her in the manor-house, sitting with her upon the form, and taken following her into the park; which, put together, is, in manner and form following. now, sir, for the manner,—it is the manner of a man to speak to a woman, for the form,—in some form. "
berowne,"for the following, sir? "
costard,as it shall follow in my correction; and god defend the right! 
king,will you hear this letter with attention? 
berowne,as we would hear an oracle. 
costard,such is the simplicity of man to hearken after the flesh. 
king,"great deputy, the welkin's vicegerent, and sole dominator of navarre, my soul's earth's god, and body's fostering patron, "
costard,not a word of costard yet. 
king,"so it is,— "
costard,"it may be so; but if he say it is so, he is, in telling true, but so.— "
king,peace! 
costard,be to me and every man that dares not fight. 
king,no words! 
costard,"of other men's secrets, i beseech you. "
king,"so it is, besieged with sable-coloured melancholy, i did commend the black-oppressing humour to the most wholesome physic of thy health-giving air; and, as i am a gentleman, betook myself to walk. the time when? about the sixth hour; when beasts most graze, birds best peck, and men sit down to that nourishment which is called supper: so much for the time when. now for the ground which; which, i mean, i walked upon: it is ycleped thy park. then for the place where; where, i mean, i did encounter that most obscene and preposterous event, that draweth from my snow-white pen the ebon-coloured ink, which here thou viewest, beholdest, surveyest, or seest. but to the place where, it standeth north-north-east and by east from the west corner of thy curious-knotted garden: there did i see that low-spirited swain, that base minnow of thy mirth,— "
costard,me. 
king,"that unlettered small-knowing soul,— "
costard,me. 
king,"that shallow vessel,— "
costard,still me. 
king,"which, as i remember, hight costard,— "
costard,o me. 
king,"sorted and consorted, contrary to thy established proclaimed edict and continent canon, with—with,—o! with but with this i passion to say wherewith,— "
costard,with a wench. 
king,"with a child of our grandmother eve, a female; or, for thy more sweet understanding, a woman. him, i,—as my everesteemed duty pricks me on,—have sent to thee, to receive the meed of punishment, by thy sweet grace's officer, antony dull; a man of good repute, carriage, bearing, and estimation. "
dull,"me, an't please you; i am antony dull. "
king,"for jaquenetta,—so is the weaker vessel called which i apprehended with the aforesaid swain,—i keep her as a vessel of thy law's fury; and shall, at the least of thy sweet notice, bring her to trial. thine, in all compliments of devoted and heart-burning heat of duty,  don adriano de armado. "
berowne,"this is not so well as i looked for, but the best that ever i heard. "
king,"ay, the best for the worst. but, sirrah, what say you to this? "
costard,"sir, i confess the wench. "
king,did you hear the proclamation? 
costard,"i do confess much of the hearing it, but little of the marking of it. "
king,it was proclaimed a year's imprisonment to be taken with a wench. 
costard,"i was taken with none, sir: i was taken with a damosel. "
king,"well, it was proclaimed 'damosel.' "
costard,"this was no damosel neither, sir: she was a 'virgin.' "
king,it is so varied too; for it was proclaimed 'virgin.' 
costard,"if it were, i deny her virginity: i was taken with a maid. "
king,"this maid will not serve your turn, sir. "
costard,"this maid will serve my turn, sir. "
king,"sir, i will pronounce your sentence: you shall fast a week with bran and water. "
costard,i had rather pray a month with mutton and porridge. 
king,"and don armado shall be your keeper. my lord berowne, see him deliver'd o'er: and go we, lords, to put in practice that which each to other hath so strongly sworn. "
berowne,"i'll lay my head to any good man's hat, these oaths and laws will prove an idle scorn. sirrah, come on. "
costard,"i suffer for the truth, sir: for true it is i was taken with jaquenetta, and jaquenetta is a true girl; and therefore welcome the sour cup of prosperity! affliction may one day smile again; and till then, sit thee down, sorrow! "
armado,"boy, what sign is it when a man of great spirit grows melancholy? "
moth,"a great sign, sir, that he will look sad. "
armado,"why, sadness is one and the self-same thing, dear imp. "
moth,"no, no; o lord, sir, no. "
armado,"how canst thou part sadness and melancholy, my tender juvenal? "
moth,"by a familiar demonstration of the working, my tough senior. "
armado,why tough senior? why tough senior? 
moth,why tender juvenal? why tender juvenal? 
armado,"i spoke it, tender juvenal, as a congruent epitheton appertaining to thy young days, which we may nominate tender. "
moth,"and i, tough senior, as an appertinent title to your old time, which we may name tough. "
armado,"pretty, and apt. "
moth,"how mean you, sir? i pretty, and my saying apt? or i apt, and my saying pretty? "
armado,"thou pretty, because little. "
moth,"little pretty, because little. wherefore apt? "
armado,"and therefore apt, because quick. "
moth,"speak you this in my praise, master? "
armado,in thy condign praise. 
moth,i will praise an eel with the same praise. 
armado,what! that an eel is ingenious? 
moth,that an eel is quick. 
armado,i do say thou art quick in answers: thou heatest my blood. 
moth,"i am answered, sir. "
armado,i love not to be crossed. 
armado,i have promised to study three years with the duke. 
moth,"you may do it in an hour, sir. "
armado,impossible. 
moth,how many is one thrice told? 
armado,i am ill at reckoning; it fitteth the spirit of a tapster. 
moth,"you are a gentleman and a gamester, sir. "
armado,i confess both: they are both the varnish of a complete man. 
moth,"then, i am sure you know how much the gross sum of deuce-ace amounts to. "
armado,it doth amount to one more than two. 
moth,which the base vulgar do call three. 
armado,true. 
moth,"why, sir, is this such a piece of study? now, here's three studied, ere you'll thrice wink; and how easy it is to put 'years' to the word 'three,' and study three years in two words, the dancing horse will tell you. "
armado,a most fine figure! 
moth,to prove you a cipher. 
armado,"i will hereupon confess i am in love; and as it is base for a soldier to love, so am i in love with a base wench. if drawing my sword against the humour of affection would deliver me from the reprobate thought of it, i would take desire prisoner, and ransom him to any french courtier for a new devised curtsy. i think scorn to sigh: methinks i should outswear cupid. comfort me, boy: what great men have been in love? "
moth,"hercules, master. "
armado,"most sweet hercules! more authority, dear boy, name more; and, sweet my child, let them be men of good repute and carriage. "
moth,"samson, master: he was a man of good carriage, great carriage, for he carried the towngates on his back like a porter; and he was in love. "
armado,"o well-knit samson! strong-jointed samson! i do excel thee in my rapier as much as thou didst me in carrying gates. i am in love too. who was samson's love, my dear moth? "
moth,"a woman, master. "
armado,of what complexion? 
moth,"of all the four, or the three, or the two, or one of the four. "
armado,tell me precisely of what complexion. 
moth,"of the sea-water green, sir. "
armado,is that one of the four complexions? 
moth,"as i have read, sir; and the best of them too. "
armado,"green indeed is the colour of lovers; but to have a love of that colour, methinks samson had small reason for it. he surely affected her for her wit. "
moth,"it was so, sir, for she had a green wit. "
armado,my love is most immaculate white and red. 
moth,"most maculate thoughts, master, are masked under such colours. "
armado,"define, define, well-educated infant. "
moth,"my father's wit, and my mother's tongue, assist me! "
armado,sweet invocation of a child; most pretty and pathetical! 
moth," if she be made of white and red, her faults will ne'er be known, for blushing cheeks by faults are bred, and fears by pale white shown: then if she fear, or be to blame, by this you shall not know, for still her cheeks possess the same which native she doth owe.  a dangerous rime, master, against the reason of white and red. "
armado,"is there not a ballad, boy, of the king and the beggar? "
moth,"the world was very guilty of such a ballad some three ages since; but i think now 'tis not to be found; or, if it were, it would neither serve for the writing nor the tune. "
armado,"i will have that subject newly writ o'er, that i may example my digression by some mighty precedent. boy, i do love that country girl that i took in the park with the rational hind costard: she deserves well. "
armado,"sing, boy: my spirit grows heavy in love. "
moth,"and that's great marvel, loving a light wench. "
armado,"i say, sing. "
moth,forbear till this company be past.  
dull,"sir, the duke's pleasure is, that you keep costard safe: and you must let him take no delight nor no penance, but a' must fast three days a week. for this damsel, i must keep her at the park; she is allowed for the day-woman. fare you well. "
armado,i do betray myself with blushing. maid! 
jaquenetta,man? 
armado,i will visit thee at the lodge. 
jaquenetta,that's hereby. 
armado,i know where it is situate. 
jaquenetta,"lord, how wise you are! "
armado,i will tell thee wonders. 
jaquenetta,with that face? 
armado,i love thee. 
jaquenetta,so i heard you say. 
armado,and so farewell. 
jaquenetta,fair weather after you! 
dull,"come, jaquenetta, away! "
armado,"villain, thou shalt fast for thy offences ere thou be pardoned. "
costard,"well, sir, i hope, when i do it, i shall do it on a full stomach. "
armado,thou shalt be heavily punished. 
costard,"i am more bound to you than your fellows, for they are but lightly rewarded. "
armado,take away this villain: shut him up. 
moth,"come, you transgressing slave: away! "
costard,"let me not be pent up, sir: i will fast, being loose. "
moth,"no, sir; that were fast and loose: thou shalt to prison. "
costard,"well, if ever i do see the merry days of desolation that i have seen, some shall see— "
moth,what shall some see? 
costard,"nay, nothing, master moth, but what they look upon. it is not for prisoners to be too silent in their words; and therefore i will say nothing: i thank god i have as little patience as another man, and therefore i can be quiet. "
armado,"i do affect the very ground, which is base, where her shoe, which is baser, guided by her foot, which is basest, doth tread. i shall be forsworn,—which is a great argument of falsehood,—if i love. and how can that be true love which is falsely attempted? love is a familiar; love is a devil: there is no evil angel but love. yet was samson so tempted, and he had an excellent strength; yet was solomon so seduced, and he had a very good wit. cupid's butt-shaft is too hard for hercules' club, and therefore too much odds for a spaniard's rapier. the first and second clause will not serve my turn; the passado he respects not, the duello he regards not: his disgrace is to be called boy, but his glory is, to subdue men. adieu, valour! rust, rapier! be still, drum! for your manager is in love; yea, he loveth. assist me some extemporal god of rime, for i am sure i shall turn sonneter. devise, wit; write, pen; for i am for whole volumes in folio. "
boyet,"now, madam, summon up your dearest spirits: consider whom the king your father sends, to whom he sends, and what's his embassy: yourself, held precious in the world's esteem, to parley with the sole inheritor of all perfections that a man may owe, matchless navarre; the plea of no less weight than aquitaine, a dowry for a queen. be now as prodigal of all dear grace as nature was in making graces dear when she did starve the general world beside, and prodigally gave them all to you. "
