speaker,text
shallow,"sir hugh, persuade me not; i will make a star-chamber matter of it; if he were twenty sir john falstaffs he shall not abuse robert shallow, esquire. "
slender,"in the county of gloster, justice of peace, and coram. "
shallow,"ay, cousin slender, and cust-alorum. "
slender,"ay, and rato-lorum too; and a gentleman born, master parson; who writes himself armigero, in any bill, warrant, quittance, or obligation,—armigero. "
shallow,"ay, that i do; and have done any time these three hundred years. "
slender,all his successors gone before him hath done't; and all his ancestors that come after him may: they may give the dozen white luces in their coat. 
shallow,it is an old coat. 
evans,"the dozen white louses do become an old coat well; it agrees well, passant; it is a familiar beast to man, and signifies love. "
shallow,the luce is the fresh fish; the salt fish is an old coat. 
slender,"i may quarter, coz? "
shallow,"you may, by marrying. "
evans,"it is marring indeed, if he quarter it. "
shallow,not a whit. 
evans,"yes, py'r lady; if he has a quarter of your coat, there is but three skirts for yourself, in my simple conjectures: but that is all one. if sir john falstaff have committed disparagements unto you, i am of the church, and will be glad to do my benevolence to make atonements and compremises between you. "
shallow,the council shall hear it; it is a riot. 
evans,"it is not meet the council hear a riot; there is no fear of got in a riot. the council, look you, shall desire to hear the fear of got, and not to hear a riot; take your vizaments in that. "
shallow,"ha! o' my life, if i were young again, the sword should end it. "
evans,"it is petter that friends is the sword, and end it; and there is also another device in my prain, which, peradventure, prings goot discretions with it. there is anne page, which is daughter to master thomas page, which is pretty virginity. "
slender,"mistress anne page? she has brown hair, and speaks small like a woman. "
evans,"it is that fery person for all the orld, as just as you will desire; and seven hundred pounds of moneys, and gold and silver, is her grandsire, upon his death's-bed,—got deliver to a joyful resurrections!—give, when she is able to overtake seventeen years old. it were a goot motion if we leave our pribbles and prabbles, and desire a marriage between master abraham and mistress anne page. "
shallow,did her grandsire leave her seven hundred pound? 
evans,"ay, and her father is make her a petter penny. "
shallow,i know the young gentlewoman; she has good gifts. 
evans,seven hundred pounds and possibilities is goot gifts. 
shallow,"well, let us see honest master page. is falstaff there? "
evans,"shall i tell you a lie? i do despise a har as i do despise one that is false; or as i despise one that is not true. the knight, sir john, is there; and, i beseech you, be ruled by your well-willers. i will peat the door for master page. "
evans,"here is got's plessing, and your friend. and justice shallow; and here young master slender, that peradventures shall tell you another tale, if matters grow to your likings.  "
page,"i am glad to see your worships well. i thank you for my venison, master shallow. "
shallow,"master page, i am glad to see you: much good do it your good heart! i wished your venison better; it was ill killed. how doth good mistress page?—and i thank you always with my heart, la! with my heart. "
page,"sir, i thank you. "
shallow,"sir, i thank you; by yea and no, i do. "
page,"i am glad to see you, good master slender. "
slender,"how does your fallow greyhound, sir? i heard say he was outrun on cotsall. "
page,"it could not be judged, sir. "
slender,"you'll not confess, you'll not confess. "
shallow,"that he will not: 'tis your fault, 'tis your fault. 'tis a good dog. "
page,"a cur, sir. "
shallow,"sir, he's a good dog, and a fair dog; can there be more said? he is good and fair. is sir john falstaff here? "
page,"sir, he is within; and i would i could do a good office between you. "
evans,it is spoke as a christians ought to speak. 
shallow,"he hath wronged me, master page. "
page,"sir, he doth in some sort confess it. "
shallow,"if it be confessed, it is not redressed: is not that so, master page? he hath wronged me; indeed, he hath;—at a word, he hath,—believe me: robert shallow, esquire, saith, he is wronged. "
page,here comes sir john.  
falstaff,"now, master shallow, you'll complain of me to the king? "
shallow,"knight, you have beaten my men, killed my deer, and broke open my lodge. "
falstaff,but not kissed your keeper's daughter? 
shallow,"tut, a pin! this shall be answered. "
falstaff,i will answer it straight: i have done all this. that is now answered. 
shallow,the council shall know this. 
falstaff,'twere better for you if it were known in counsel: you'll be laughed at. 
evans,"pauca verba, sir john; goot worts. "
falstaff,"good worts! good cabbage. slender, i broke your head: what matter have you against me? "
slender,"marry, sir, i have matter in my head against you; and against your cony-catching rascals, bardolph, nym, and pistol. they carried me to the tavern, and made me drunk, and afterwards picked my pocket. "
bardolph,you banbury cheese! 
slender,"ay, it is no matter. "
pistol,"how now, mephistophilus! "
slender,"ay, it is no matter. "
nym,"slice, i say! pauca, pauca; slice! that's my humour. "
slender,"where's simple, my man? can you tell, cousin? "
evans,"peace, i pray you. now let us understand: there is three umpires in this matter, as i understand; that is—master page, fidelicet, master page; and there is myself, fidelicet, myself; and the three party is, lastly and finally, mine host of the garter. "
page,"we three, to hear it and end it between them. "
evans,fery goot: i will make a prief of it in my note-book; and we will afterwards ork upon the cause with as great discreetly as we can. 
falstaff,pistol! 
pistol,he hears with ears. 
evans,"the tevil and his tam! what phrase is this, 'he hears with ear?' why, it is affectations. "
falstaff,"pistol, did you pick master slender's purse? "
slender,"ay, by these gloves, did he,—or i would i might never come in mine own great chamber again else,—of seven groats in mill-sixpences, and two edward shovel-boards, that cost me two shilling and two pence a-piece of yead miller, by these gloves. "
falstaff,"is this true, pistol? "
evans,"no; it is false, if it is a pick-purse. "
pistol,"ha, thou mountain foreigner!—sir john and master mine, i combat challenge of this latten bilbo. word of denial in thy labras here! word of denial: froth and scum, thou liest. "
slender,"by these gloves, then, 'twas he. "
nym,"be avised, sir, and pass good humours. i will say, 'marry trap,' with you, if you run the nuthook's humour on me: that is the very note of it. "
slender,"by this hat, then, he in the red face had it; for though i cannot remember what i did when you made me drunk, yet i am not altogether an ass. "
falstaff,"what say you, scarlet and john? "
bardolph,"why, sir, for my part, i say, the gentleman had drunk himself out of his five sentences. "
evans,"it is his 'five senses;' fie, what the ignorance is! "
bardolph,"and being fap, sir, was, as they say, cashier'd; and so conclusions pass'd the careires. "
slender,"ay, you spake in latin then too; but 'tis no matter. i'll ne'er be drunk whilst i live again, but in honest, civil, godly company, for this trick: if i be drunk, i'll be drunk with those that have the fear of god, and not with drunken knaves. "
evans,"so got udge me, that is a virtuous mind. "
falstaff,"you hear all these matters denied, gentlemen; you hear it.  "
page,"nay, daughter, carry the wine in; we'll drink within. "
slender,o heaven! this is mistress anne page. 
page,"how now, mistress ford! "
falstaff,"mistress ford, by my troth, you are very well met: by your leave, good mistress. "
page,"wife, bid these gentlemen welcome. come, we have a hot venison pasty to dinner: come, gentlemen, i hope we shall drink down all unkindness. "
slender,i had rather than forty shillings i had my book of songs and sonnets here.  
simple,"book of riddles! why, did you not lend it to alice shortcake upon all-hallowmas last, a fortnight afore michaelmas? "
shallow,"come, coz; come, coz; we stay for you. a word with you, coz; marry, this, coz: there is, as 'twere a tender, a kind of tender, made afar off by sir hugh here: do you understand me? "
slender,"ay, sir, you shall find me reasonable: if it be so, i shall do that that is reason. "
shallow,"nay, but understand me. "
slender,"so i do, sir. "
evans,"give ear to his motions, master slender: i will description the matter to you, if you pe capacity of it. "
slender,"nay, i will do as my cousin shallow says. i pray you pardon me; he's a justice of peace in his country, simple though i stand here. "
evans,but that is not the question; the question is concerning your marriage. 
shallow,"ay, there's the point, sir. "
evans,"marry, is it, the very point of it; to mistress anne page. "
slender,"why, if it be so, i will marry her upon any reasonable demands. "
evans,"but can you affection the 'oman? let us command to know that of your mouth or of your lips; for divers philosophers hold that the lips is parcel of the mouth: therefore, precisely, can you carry your good will to the maid? "
shallow,"cousin abraham slender, can you love her? "
slender,"i hope, sir, i will do as it shall become one that would do reason. "
evans,"nay, got's lords and his ladies! you must speak possitable, if you can carry her your desires towards her. "
shallow,"that you must. will you, upon good dowry, marry her? "
slender,"i will do a greater thing than that, upon your request, cousin, in any reason. "
shallow,"nay, conceive me, conceive me, sweet coz: what i do, is to pleasure you, coz. can you love the maid? "
slender,"i will marry her, sir, at your request; but if there be no great love in the beginning, yet heaven may decrease it upon better acquaintance, when we are married and have more occasion to know one another: i hope, upon familiarity will grow more contempt: but if you say, 'marry her,' i will marry her; that i am freely dissolved, and dissolutely. "
evans,"it is a fery discretion answer; save, the faul is in the ort 'dissolutely:' the ort is, according to our meaning, 'resolutely.' his meaning is goot. "
shallow,"ay, i think my cousin meant well. "
slender,"ay, or else i would i might be hanged, la! "
shallow,here comes fair mistress anne.  
anne,the dinner is on the table; my father desires your worships' company. 
shallow,"i will wait on him, fair mistress anne. "
evans,od's plessed will! i will not be absence at the grace. 
anne,"will't please your worship to come in, sir? "
slender,"no, i thank you, forsooth, heartily; i am very well. "
anne,"the dinner attends you, sir. "
slender,"i am not a-hungry, i thank you forsooth. go, sirrah, for all you are my man, go wait upon my cousin shallow. "
anne,i may not go in without your worship: they will not sit till you come. 
slender,"i' faith, i'll eat nothing; i thank you as much as though i did. "
anne,"i pray you, sir, walk in. "
slender,"i had rather walk here, i thank you. i bruised my shin th' other day with playing at sword and dagger with a master of fence; three veneys for a dish of stewed prunes;—and, by my troth, i cannot abide the smell of hot meat since. why do your dogs bark so? be there bears i' the town? "
anne,"i think there are, sir; i heard them talked of. "
slender,"i love the sport well; but i shall as soon quarrel at it as any man in england. you are afraid, if you see the bear loose, are you not? "
anne,"ay, indeed, sir. "
slender,"that's meat and drink to me, now: i have seen sackerson loose twenty times, and have taken him by the chain; but, i warrant you, the women have so cried and shrieked at it, that it passed: but women, indeed, cannot abide 'em; they are very ill-favoured rough things.  "
page,"come, gentle master slender, come; we stay for you. "
slender,"i'll eat nothing, i thank you, sir. "
page,"by cock and pie, you shall not choose, sir! come, come. "
slender,"nay, pray you, lead the way. "
page,"come on, sir. "
slender,"mistress anne, yourself shall go first. "
anne,"not i, sir; pray you, keep on. "
slender,"truly, i will not go first: truly, la! i will not do you that wrong. "
anne,"i pray you, sir. "
slender,"i'll rather be unmannerly than troublesome. you do yourself wrong, indeed, la! "
evans,"go your ways, and ask of doctor caius' house, which is the way: and there dwells one mistress quickly, which is in the manner of his nurse, or his try nurse, or his cook, or his laundry, his washer, and his wringer. "
simple,"well, sir. "
evans,"nay, it is petter yet. give her this letter; for it is a 'oman that altogether's acquaintance with mistress anne page: and the letter is, to desire and require her to solicit your master's desires to mistress anne page. i pray you, be gone: i will make an end of my dinner; there's pippins and seese to come. "
falstaff,mine host of the garter! 
host,what says my bully-rook? speak scholarly and wisely. 
falstaff,"truly, mine host, i must turn away some of my followers. "
host,"discard, bully hercules; cashier: let them wag; trot, trot. "
falstaff,i sit at ten pounds a week. 
host,"thou'rt an emperor, cæsar, keisar, and pheezar. i will entertain bardolph; he shall draw, he shall tap: said i well, bully hector? "
falstaff,"do so, good mine host. "
host,i have spoke; let him follow. 
falstaff,"bardolph, follow him. a tapster is a good trade: an old cloak makes a new jerkin; a withered serving-man, a fresh tapster. go; adieu. "
bardolph,it is a life that i have desired. i will thrive. 
pistol,o base hungarian wight! wilt thou the spigot wield? 
nym,he was gotten in drink; is not the humour conceited? 
falstaff,i am glad i am so acquit of this tinderbox; his thefts were too open; his filching was like an unskilful singer; he kept not time. 
nym,the good humour is to steal at a minim's rest. 
pistol,"'convey,' the wise it call. 'steal!' foh! a fico for the phrase! "
falstaff,"well, sirs, i am almost out at heels. "
pistol,"why, then, let kibes ensue. "
falstaff,"there is no remedy; i must conycatch, i must shift. "
pistol,young ravens must have food. 
falstaff,which of you know ford of this town? 
pistol,i ken the wight: he is of substance good. 
falstaff,"my honest lads, i will tell you what i am about. "
pistol,"two yards, and more. "
